""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"Characteristics.disease.staging."	"Characteristics.organism.part."	"Assay.Name"
"ILMN_1777233"	0.863368526042895	1.81928116650414	9.91811256940744	7.09607461620465	2.81882627298043e-11	4.28070164898945e-07	NA	NA	NA
"ILMN_1809522"	0.975039939185545	1.96569561413149	8.85504116360994	7.04040339207306	3.85926942750582e-11	4.28070164898945e-07	NA	NA	NA
"ILMN_1780977"	-0.80268257567371	-1.74434157618404	8.32851432857323	-6.71284037393708	2.38462068687103e-10	1.7633475105849e-06	NA	NA	NA
"ILMN_1748427"	-0.768766669988295	-1.70381260677675	6.79866047298614	-6.58677661437668	4.74453335256147e-10	2.63131819733059e-06	NA	NA	NA
"ILMN_1729237"	0.455460294401233	1.37122022543121	10.7872346112508	6.45623881044315	9.59718717592811e-10	4.25808000621578e-06	NA	NA	NA
"ILMN_1698225"	0.428893736368693	1.34620090939786	9.62991705528623	6.3459713989667	1.72901270258469e-09	6.32462146633877e-06	NA	NA	NA
"ILMN_1735552"	0.408286920826916	1.32710904762747	10.2873571960375	6.31893166542047	1.99568834585158e-09	6.32462146633877e-06	NA	NA	NA
"ILMN_1775542"	-0.485516613113969	-1.40008713153453	12.7187142867932	-6.1672871593551	4.4309845426722e-09	1.11075080558227e-05	NA	NA	NA
"ILMN_1726589"	-1.28787659007145	-2.44168415170488	7.71376661060963	-6.16405900249758	4.5062915841329e-09	1.11075080558227e-05	NA	NA	NA
"ILMN_1796072"	-0.453102111994728	-1.36898070425703	10.8079758224437	-6.09049330841166	6.60661373200378e-09	1.46561119030772e-05	NA	NA	NA
"ILMN_1792521"	0.70608024205661	1.6313657199906	10.2936363295281	6.05883547998029	7.78229093552981e-09	1.48410887209928e-05	NA	NA	NA
"ILMN_1694027"	0.700598867568318	1.62517927010007	6.73097925655235	6.05281558666962	8.02799606256372e-09	1.48410887209928e-05	NA	NA	NA
"ILMN_1737015"	-0.300041740511677	-1.23118003372186	15.4535703298222	-6.03658852535324	8.72881735739308e-09	1.48953910966468e-05	NA	NA	NA
"ILMN_1789793"	-0.793696038425826	-1.7335098551723	8.52077964342354	-6.0191072558817	9.55093171867961e-09	1.51341335176563e-05	NA	NA	NA
"ILMN_1764788"	0.4074332620551	1.32632401465836	13.6864972551809	5.98416070947588	1.14282680635385e-08	1.67163495908698e-05	NA	NA	NA
"ILMN_1678729"	0.557907503292182	1.47213247508792	10.0690071881474	5.97371469306255	1.20565089007355e-08	1.67163495908698e-05	NA	NA	NA
"ILMN_1756669"	-0.323809357467998	-1.25163105302589	11.0881164953302	-5.96056282172717	1.28957631014052e-08	1.68282122730337e-05	NA	NA	NA
"ILMN_1654737"	-0.522163007569016	-1.43610676462816	8.00244742538054	-5.88716154209608	1.87420419527081e-08	2.25150452910027e-05	NA	NA	NA
"ILMN_1799082"	-0.549794839490408	-1.46387750835053	8.29560268991934	-5.88154621713707	1.92835313978115e-08	2.25150452910027e-05	NA	NA	NA
"ILMN_1756992"	0.685208296589285	1.60793411856721	7.77185783679657	5.84767909837806	2.28893196118183e-08	2.36444185992426e-05	NA	NA	NA
"ILMN_1774602"	-0.917345341948202	-1.88863687248805	6.98756897802695	-5.84498409014393	2.32030662858444e-08	2.36444185992426e-05	NA	NA	NA
"ILMN_1770692"	-0.34388348329788	-1.2691683797509	8.61948296355332	-5.84290226179296	2.3448305498708e-08	2.36444185992426e-05	NA	NA	NA
"ILMN_1798533"	-0.322027922386519	-1.25008649692953	10.3946620731541	-5.81578094824397	2.68845515581919e-08	2.46991580679101e-05	NA	NA	NA
"ILMN_1741540"	0.413612308296194	1.33201682755826	10.6002258341224	5.81015242419027	2.76570878136617e-08	2.46991580679101e-05	NA	NA	NA
"ILMN_1661886"	-0.360702033954474	-1.28405058108183	11.7104824211338	-5.80888208332646	2.78344280426322e-08	2.46991580679101e-05	NA	NA	NA
"ILMN_1716057"	0.362543313647985	1.2856904325992	8.63755602871436	5.7728329166797	3.33575027582914e-08	2.84616477380745e-05	NA	NA	NA
"ILMN_1727524"	0.603963605372741	1.51988651399421	7.27915221399576	5.74490784906692	3.83596450534103e-08	3.04819316849764e-05	NA	NA	NA
"ILMN_1760142"	-0.382373982731036	-1.30348500156959	11.2351774757022	-5.74431506586549	3.84734081851487e-08	3.04819316849764e-05	NA	NA	NA
"ILMN_1693494"	0.639968409309098	1.55829503696359	7.138370929941	5.65560991220795	5.97931956686673e-08	4.57397328521971e-05	NA	NA	NA
"ILMN_1704250"	-0.326789676744725	-1.2542193448609	14.9811906589279	-5.64441055813272	6.31963178256105e-08	4.67315704881114e-05	NA	NA	NA
"ILMN_1811238"	0.889578796579242	1.852635156933	6.01772931694219	5.62468825482568	6.96549279936399e-08	4.89637623630152e-05	NA	NA	NA
"ILMN_1798189"	-0.363158576398612	-1.28623885489879	14.1704093432261	-5.6218690455101	7.06293001990844e-08	4.89637623630152e-05	NA	NA	NA
"ILMN_1754195"	-0.26013880175839	-1.19759391964429	15.3520791203209	-5.532888494366	1.09242051935414e-07	7.34371418222798e-05	NA	NA	NA
"ILMN_1670695"	-0.543275534945443	-1.45727740729928	8.61159067795642	-5.4732969558199	1.45925344228974e-07	9.45561281268327e-05	NA	NA	NA
"ILMN_1799319"	0.359299319902175	1.28280272175869	8.75167098461641	5.46873590522032	1.49182495692352e-07	9.45561281268327e-05	NA	NA	NA
"ILMN_1668960"	-0.588467962065134	-1.50364913250762	9.66834068320969	-5.43857992525524	1.72572593828762e-07	0.000106343067263813	NA	NA	NA
"ILMN_1800796"	-0.402628905065176	-1.32191453404607	8.52163071893178	-5.40410334547533	2.03706553323233e-07	0.000122135842673584	NA	NA	NA
"ILMN_1695468"	-0.635812071217627	-1.55381212123532	7.52885409638473	-5.39144349473235	2.16460888685959e-07	0.000126367588279193	NA	NA	NA
"ILMN_1790978"	0.464096371960433	1.37945306614892	10.1237659040239	5.38508061143598	2.23161773673047e-07	0.000126539622335973	NA	NA	NA
"ILMN_1672417"	-0.480680096579266	-1.39540131331231	11.9450423297738	-5.38045112003036	2.28163761875177e-07	0.000126539622335973	NA	NA	NA
"ILMN_1774077"	0.349927608307808	1.27449667389658	12.7841181291258	5.36719162837014	2.43102168904288e-07	0.000128927984931866	NA	NA	NA
"ILMN_1743104"	-0.529918287858852	-1.4438474157966	9.79574835031263	-5.36633982283855	2.44093732741542e-07	0.000128927984931866	NA	NA	NA
"ILMN_1721704"	-0.276632138317298	-1.21136374474842	11.6056538466967	-5.32500002696979	2.97252932834272e-07	0.000150094750508603	NA	NA	NA
"ILMN_1737058"	0.511407129648625	1.42543981760641	9.07449011595884	5.32468413020383	2.97699649404008e-07	0.000150094750508603	NA	NA	NA
"ILMN_1748770"	-0.204301504502677	-1.15212839704384	10.8952472475709	-5.31587812463636	3.10418840513931e-07	0.000152770352689357	NA	NA	NA
"ILMN_1756402"	-0.646722889162888	-1.56560784387465	6.97178367592586	-5.31160531760846	3.1677949079113e-07	0.000152770352689357	NA	NA	NA
"ILMN_1787477"	-0.457949999904575	-1.3735886275596	5.75320651480533	-5.2931108970459	3.45804884762909e-07	0.000162418110954999	NA	NA	NA
"ILMN_1676780"	-0.799485311974283	-1.74048009162166	7.2233855077808	-5.2897036492046	3.51427575091955e-07	0.000162418110954999	NA	NA	NA
"ILMN_1690122"	-0.241043409412795	-1.18184710712945	12.2766362684632	-5.27608850628807	3.7479689165784e-07	0.000169262351176892	NA	NA	NA
"ILMN_1759030"	0.441119322295422	1.35765726423496	9.77831258904069	5.2723375227645	3.81496464066202e-07	0.000169262351176892	NA	NA	NA
"ILMN_1780368"	-0.831561428044525	-1.77961039175845	9.18349452984924	-5.25912460600061	4.06036765279396e-07	0.000176618031391336	NA	NA	NA
"ILMN_1724181"	0.543371075838995	1.45737391708961	9.50624608201824	5.24529935222417	4.3335715500996e-07	0.00018252947703699	NA	NA	NA
"ILMN_1692486"	-0.369330945279455	-1.29175363657697	9.98061045213721	-5.23990178842742	4.44501755888894e-07	0.00018252947703699	NA	NA	NA
"ILMN_1801283"	0.406817638860845	1.32575816975186	12.0457148431857	5.23708641808518	4.50424902527003e-07	0.00018252947703699	NA	NA	NA
"ILMN_1716360"	0.590037318293867	1.5052856842379	8.47801496715153	5.2352584401515	4.54311740455829e-07	0.00018252947703699	NA	NA	NA
"ILMN_1661695"	0.615279323696886	1.53185455447209	10.954702181834	5.23225597217322	4.60766801030989e-07	0.00018252947703699	NA	NA	NA
"ILMN_1709795"	-0.244500110521	-1.18468221100492	14.5118983513985	-5.22286341385493	4.8154126399723e-07	0.000183257515930009	NA	NA	NA
"ILMN_1667748"	0.621559884971088	1.53853779531203	9.50942690239973	5.22163159439582	4.84332466656832e-07	0.000183257515930009	NA	NA	NA
"ILMN_1656361"	0.808633284571151	1.75155135062024	7.39745730956123	5.21494292172184	4.99765279266697e-07	0.000183257515930009	NA	NA	NA
"ILMN_1683469"	0.363347941565892	1.28640769503124	5.57461376506299	5.214338477955	5.01183241453158e-07	0.000183257515930009	NA	NA	NA
"ILMN_1676448"	0.271009249253751	1.20665165565335	11.7952142939798	5.210409137863	5.10496896971149e-07	0.000183257515930009	NA	NA	NA
"ILMN_1669113"	0.491662158587777	1.4060638980002	9.5845082015142	5.20971091448697	5.12169400814125e-07	0.000183257515930009	NA	NA	NA
"ILMN_1742827"	0.292181166697001	1.22449014832324	9.96052197770326	5.20350302210163	5.27275751004635e-07	0.000185668020004553	NA	NA	NA
"ILMN_1748601"	-1.04374226473838	-2.06156830866587	7.05184488866482	-5.19122219768284	5.58446611899099e-07	0.000190977647927992	NA	NA	NA
"ILMN_1677085"	-0.48586416504867	-1.40042445965634	11.5469692311736	-5.18696938440393	5.69652930070519e-07	0.000190977647927992	NA	NA	NA
