""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"Characteristics.disease.staging."	"Characteristics.organism.part."	"Assay.Name"
"ILMN_1664843"	0.595033259978344	1.51050740849017	12.1210269254538	5.35344847062234	2.59589954143563e-07	0.00329092882367325	NA	NA	NA
"ILMN_1746457"	-0.210517123303788	-1.15710286449422	11.3841477939014	-5.28462887403529	3.59967326899445e-07	0.00329092882367325	NA	NA	NA
"ILMN_1732452"	0.295407860134353	1.22723187538342	12.0258131856882	5.17645826130986	5.98296037825747e-07	0.00329092882367325	NA	NA	NA
"ILMN_1689747"	-0.22694794040134	-1.1703564084437	11.0141164423659	-5.16214021313382	6.39574660020629e-07	0.00329092882367325	NA	NA	NA
"ILMN_1705679"	-0.283309636059889	-1.21698352370225	11.4285302061717	-5.13024098341156	7.41734769129383e-07	0.00329092882367325	NA	NA	NA
"ILMN_1792521"	0.46873630524204	1.38389674528534	10.2936363295281	5.00469722097843	1.32092792585449e-06	0.00401127758400475	NA	NA	NA
"ILMN_1724907"	0.25267216961611	1.19141181369852	10.4047368259823	4.94640913363116	1.72102316544969e-06	0.00401127758400475	NA	NA	NA
"ILMN_1721563"	0.352265137822047	1.27656335349035	8.33130340749975	4.92954889319754	1.85716535244126e-06	0.00401127758400475	NA	NA	NA
"ILMN_1720440"	-0.260387108881184	-1.19780005932335	9.03160388291317	-4.9190425742048	1.94721717211909e-06	0.00401127758400475	NA	NA	NA
"ILMN_1779214"	-0.304283256856844	-1.23480502309765	12.5694851686145	-4.9165847710394	1.96888613924866e-06	0.00401127758400475	NA	NA	NA
"ILMN_1790807"	-0.255949451516566	-1.19412134726861	11.4202302246838	-4.91432630148225	1.9890034900853e-06	0.00401127758400475	NA	NA	NA
"ILMN_1679809"	0.271259985067594	1.2068613861016	12.7550500048665	4.84192363541439	2.75055969978438e-06	0.00508486803166806	NA	NA	NA
"ILMN_1697268"	0.350760782928209	1.27523292441071	11.6849010836639	4.81661037004783	3.07820354559115e-06	0.00525283595810724	NA	NA	NA
"ILMN_1781906"	-0.212094428158097	-1.15836862196489	11.3445763642845	-4.79404579224687	3.40184683164017e-06	0.00539046929379325	NA	NA	NA
"ILMN_1711166"	-0.230871102750221	-1.17354332364454	10.6033417822658	-4.75574899636426	4.02786509910219e-06	0.0059569439572322	NA	NA	NA
"ILMN_1706779"	-0.34477395203496	-1.26995198514523	9.36315044842476	-4.73397210467146	4.43205438940238e-06	0.0061450434109064	NA	NA	NA
